discipline,medal_type,count
3x3 Basketball,Bronze Medal,8
3x3 Basketball,Gold Medal,8
3x3 Basketball,Silver Medal,8
Archery,Bronze Medal,10
Archery,Gold Medal,10
Archery,Silver Medal,10
Artistic Gymnastics,Bronze Medal,23
Artistic Gymnastics,Gold Medal,22
Artistic Gymnastics,Silver Medal,22
Artistic Swimming,Bronze Medal,11
Artistic Swimming,Gold Medal,11
Artistic Swimming,Silver Medal,11
Athletics,Bronze Medal,79
Athletics,Gold Medal,78
Athletics,Silver Medal,74
Badminton,Bronze Medal,8
Badminton,Gold Medal,8
Badminton,Silver Medal,8
Basketball,Bronze Medal,24
Basketball,Gold Medal,24
Basketball,Silver Medal,24
Beach Volleyball,Bronze Medal,4
Beach Volleyball,Gold Medal,4
Beach Volleyball,Silver Medal,4
Boxing,Bronze Medal,26
Boxing,Gold Medal,13
Boxing,Silver Medal,13
Breaking,Bronze Medal,2
Breaking,Gold Medal,2
Breaking,Silver Medal,2
Canoe Slalom,Bronze Medal,6
Canoe Slalom,Gold Medal,6
Canoe Slalom,Silver Medal,6
Canoe Sprint,Bronze Medal,22
Canoe Sprint,Gold Medal,20
Canoe Sprint,Silver Medal,20
Cycling BMX Freestyle,Bronze Medal,2
Cycling BMX Freestyle,Gold Medal,2
Cycling BMX Freestyle,Silver Medal,2
Cycling BMX Racing,Bronze Medal,2
Cycling BMX Racing,Gold Medal,2
Cycling BMX Racing,Silver Medal,2
Cycling Mountain Bike,Bronze Medal,2
Cycling Mountain Bike,Gold Medal,2
Cycling Mountain Bike,Silver Medal,2
Cycling Road,Bronze Medal,4
Cycling Road,Gold Medal,4
Cycling Road,Silver Medal,4
Cycling Track,Bronze Medal,29
Cycling Track,Gold Medal,29
Cycling Track,Silver Medal,29
Diving,Bronze Medal,12
Diving,Gold Medal,12
Diving,Silver Medal,12
Equestrian,Bronze Medal,15
Equestrian,Gold Medal,15
Equestrian,Silver Medal,15
Fencing,Bronze Medal,30
Fencing,Gold Medal,30
Fencing,Silver Medal,30
Football,Bronze Medal,39
Football,Gold Medal,42
Football,Silver Medal,43
Golf,Bronze Medal,2
Golf,Gold Medal,2
Golf,Silver Medal,2
Handball,Bronze Medal,30
Handball,Gold Medal,31
Handball,Silver Medal,33
Hockey,Bronze Medal,32
Hockey,Gold Medal,35
Hockey,Silver Medal,35
Judo,Bronze Medal,49
Judo,Gold Medal,28
Judo,Silver Medal,28
Marathon Swimming,Bronze Medal,2
Marathon Swimming,Gold Medal,2
Marathon Swimming,Silver Medal,2
Modern Pentathlon,Bronze Medal,2
Modern Pentathlon,Gold Medal,2
Modern Pentathlon,Silver Medal,2
Rhythmic Gymnastics,Bronze Medal,6
Rhythmic Gymnastics,Gold Medal,6
Rhythmic Gymnastics,Silver Medal,6
Rowing,Bronze Medal,48
Rowing,Gold Medal,48
Rowing,Silver Medal,48
Rugby Sevens,Bronze Medal,25
Rugby Sevens,Gold Medal,25
Rugby Sevens,Silver Medal,28
Sailing,Bronze Medal,14
Sailing,Gold Medal,14
Sailing,Silver Medal,14
Shooting,Bronze Medal,18
Shooting,Gold Medal,18
Shooting,Silver Medal,18
Skateboarding,Bronze Medal,4
Skateboarding,Gold Medal,4
Skateboarding,Silver Medal,4
Sport Climbing,Bronze Medal,4
Sport Climbing,Gold Medal,4
Sport Climbing,Silver Medal,4
Surfing,Bronze Medal,2
Surfing,Gold Medal,2
Surfing,Silver Medal,2
Swimming,Bronze Medal,71
Swimming,Gold Medal,73
Swimming,Silver Medal,75
Table Tennis,Bronze Medal,10
Table Tennis,Gold Medal,10
Table Tennis,Silver Medal,10
Taekwondo,Bronze Medal,16
Taekwondo,Gold Medal,8
Taekwondo,Silver Medal,8
Tennis,Bronze Medal,8
Tennis,Gold Medal,8
Tennis,Silver Medal,8
Trampoline Gymnastics,Bronze Medal,2
Trampoline Gymnastics,Gold Medal,2
Trampoline Gymnastics,Silver Medal,2
Triathlon,Bronze Medal,6
Triathlon,Gold Medal,6
Triathlon,Silver Medal,6
Volleyball,Bronze Medal,26
Volleyball,Gold Medal,26
Volleyball,Silver Medal,26
Water Polo,Bronze Medal,26
Water Polo,Gold Medal,26
Water Polo,Silver Medal,26
Weightlifting,Bronze Medal,10
Weightlifting,Gold Medal,10
Weightlifting,Silver Medal,10
Wrestling,Bronze Medal,36
Wrestling,Gold Medal,18
Wrestling,Silver Medal,18
