country,gold,silver,bronze,total,country_pt
Norway,148,134,123,405,Norway
United States,113,122,95,330,United States
Germany,112,104,70,286,Germany
Austria,71,88,91,250,Austria
Canada,77,72,76,225,Canada
Soviet Union,78,57,59,194,Soviet Union
Sweden,65,51,60,176,Sweden
Finland,45,65,65,175,Finland
Switzerland,63,47,58,168,Switzerland
Netherlands,53,49,45,147,Netherlands
Italy,42,43,56,141,Italy
France,41,42,55,138,France
Russian Federation,46,39,35,120,Russian Federation
East Germany,39,36,35,110,East Germany
Republic of Korea,33,30,16,79,Republic of Korea
People's Republic of China,22,32,23,77,People's Republic of China
Japan,17,28,31,76,Japan
ROC,8,18,23,49,ROC
West Germany,11,15,13,39,West Germany
Czechia,10,11,13,34,Czechia
Great Britain,12,5,17,34,Great Britain
Czechoslovakia,2,8,15,25,Czechoslovakia
Slovenia,4,8,12,24,Slovenia
Unified Team,9,6,8,23,Unified Team
Poland,7,7,9,23,Poland
Belarus,8,7,5,20,Belarus
Australia,6,7,6,19,Australia
Croatia,4,6,1,11,Croatia
Latvia,1,3,6,10,Latvia
Slovakia,4,4,2,10,Slovakia
Liechtenstein,2,2,6,10,Liechtenstein
Hungary,2,2,6,10,Hungary
Ukraine,3,2,4,9,Ukraine
Kazakhstan,1,3,4,8,Kazakhstan
Belgium,2,2,4,8,Belgium
Estonia,4,2,2,8,Estonia
Bulgaria,1,2,3,6,Bulgaria
New Zealand,2,2,2,6,New Zealand
Spain,1,1,3,5,Spain
Yugoslavia,0,3,1,4,Yugoslavia
Luxembourg,0,2,0,2,Luxembourg
Democratic People's Republic of Korea,0,1,1,2,Democratic People's Republic of Korea
Denmark,0,1,0,1,Denmark
Mixed team,1,0,0,1,Mixed team
Romania,0,0,1,1,Romania
Uzbekistan,1,0,0,1,Uzbekistan
